Feature ID	Taxon	Confidence
RS-GCF-001591645.1-NZ-BCVH01000052.1	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__DSM-18226_301387; g__Robertmurraya_298194; s__Robertmurraya korlensis	1.0
DQ100066	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470; g__Mesorhizobium_F_498388; s__Mesorhizobium_F_498388 albiziae	1.0
MJ034-1-barcode49-umi410bins-ubs-780	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_887417; s__	1.0
MJ030-1-barcode25-umi13220bins-ubs-36	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Ramlibacter_588642; s__Caenimonas terrae	1.0
KT633950	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Micromonospora_H_372070; s__Micromonospora_H_372070 sonchi	1.0
MJ034-1-barcode38-umi23974bins-ubs-6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__; s__	1.0
MJ030-2-barcode59-umi100267bins-ubs-5	d__Bacteria; p__Desulfobacterota_G_459546; c__Desulfuromonadia; o__Geobacterales; f__Pseudopelobacteraceae; g__JACRCG01; s__	1.0
MJ030-2-barcode58-umi22512bins-ubs-28	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__; g__; s__	1.0
AJ487302	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Promicromonospora; s__Promicromonospora vindobonensis	1.0
MJ034-2-barcode71-umi10178bins-ubs-17	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Chitinophaga; s__	1.0
MJ010-1-barcode26-umi112786bins-ubs-5	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_V; s__	1.0
MJ031-1-barcode30-umi5801bins-ubs-78	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Acetivibrionales; f__DSM-27016_98371; g__Ruminiclostridium; s__Ruminiclostridium sufflavum	1.0
MJ030-1-barcode25-umi45931bins-ubs-12	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__; f__; g__; s__Ammoniphilus oxalivorans	1.0
FR714843	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus_C_375137; s__Rhodococcus_C_375137 trifolii	1.0
AB680813	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Rhizorhapis; s__Rhizorhapis suberifaciens	1.0
MJ034-2-barcode71-umi13109bins-ubs-9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_929731; g__Flavipsychrobacter_929086; s__Flavipsychrobacter sp902168085	1.0
RS-GCF-003626595.1-NZ-RBAK01000038.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Micromonospora_H_372070; s__	1.0
MJ030-1-barcode42-umi29147bins-ubs-17	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Methylophilaceae; g__Methylotenera_A_557637; s__Methylotenera_A_557637 versatilis	1.0
MJ020-1-barcode44-umi84788bins-ubs-4	d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__SJA-28; f__B-1AR; g__UBA2330; s__UBA2330 sp002344965	1.0
MJ010-1-barcode26-umi144809bins-ubs-4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_502138; f__Devosiaceae; g__Devosia_A_502124; s__	1.0
MJ030-2-barcode58-umi23111bins-ubs-27	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae_900466; g__Chryseotalea; s__Chryseotalea sanaruensis	1.0
MJ033-1-barcode35-umi19845bins-ubs-13	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_C; s__	1.0
AY494606	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerocolumna; s__Anaerocolumna jejuensis	1.0
MJ034-1-barcode33-umi18171bins-ubs-13	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Lacunisphaera_756365; s__Lacunisphaera limnophila	1.0
G001421995	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 sp001421995	1.0
MJ030-1-barcode42-umi74419bins-ubs-7	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__VFJQ01; s__VFJQ01 sp009885995	1.0
AB200231	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Catellatospora; s__Catellatospora citrea	1.0
MJ020-2-barcode70-umi81545bins-ubs-3	d__Bacteria; p__Cyanobacteria; c__Vampirovibrionia; o__; f__; g__; s__	1.0
MJ009-1-barcode34-umi13363bins-ubs-35	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga; s__	1.0
GB-GCA-002364745.1-DEZG01000009.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501059; f__Rhizobiaceae_A_501059; g__Shinella; s__Shinella kummerowiae	1.0
MJ032-2-barcode71-umi60602bins-ubs-8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__SG8-41; g__UBA5216; s__UBA5216 sp902825845	1.0
KX926540	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Geodermatophilaceae; g__Blastococcus; s__Blastococcus atacamensis	1.0
MJ034-1-barcode33-umi21073bins-ubs-9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__GCA-2729495; f__GCA-2729495; g__QUBU01; s__	1.0
MJ020-1-barcode41-umi5526bins-ubs-60	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767; f__B-17BO; g__UBA2475; s__UBA2475 sp002319075	1.0
MJ031-1-barcode30-umi34326bins-ubs-7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Sporocytophaga; s__	1.0
MJ020-1-barcode31-umi47239bins-ubs-9	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae_433871; g__PSRF01; s__PSRF01 sp002427845	1.0
MJ007-1-barcode30-umi7113bins-ubs-43	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501396; f__Rhizobiaceae_A_499470; g__Aliihoeflea_498503; s__	1.0
MJ030-2-barcode58-umi94239bins-ubs-4	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__; g__; s__	1.0
KY933307	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_881387; s__Pedobacter mongoliensis	1.0
MJ009-2-barcode70-umi114964bins-ubs-3	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__Arctic95D-9; s__	1.0
MJ032-2-barcode69-umi6036bins-ubs-66	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae_426821; g__OLB17_426821; s__OLB17 sp001567505	1.0
MJ033-1-barcode36-umi34029bins-ubs-5	d__Bacteria; p__Bdellovibrionota_E; c__Bdellovibrionia_A_473294; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Pseudobdellovibrio; s__Pseudobdellovibrio exovorus	1.0
MJ034-1-barcode40-umi16378bins-ubs-18	d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia_984208; o__; f__; g__; s__	1.0
MJ032-2-barcode70-umi68600bins-ubs-7	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Terrimonas_941540; s__	1.0
AY876943	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Streptomycetales_400645; f__Streptomycetaceae_400641; g__Streptomyces_G_400149; s__Streptomyces_G_400149 paucisporeus	1.0
RS-GCF-001885585.1-NZ-LSRP01000156.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_501059; f__Rhizobiaceae_A_501059; g__Pararhizobium; s__Pararhizobium antarcticum	1.0
MJ034-1-barcode40-umi1080bins-ubs-364	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Mycoplasmatales; f__; g__; s__	1.0
RS-GCF-001942335.1-NZ-MKKH01000078.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulosimicrobium; s__	1.0
MJ030-1-barcode42-umi90306bins-ubs-4	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__VFJQ01; s__VFJQ01 sp009885995	1.0
MJ031-2-barcode61-umi5204bins-ubs-81	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767; f__2-12-FULL-35-15; g__2-12-FULL-35-15; s__2-12-FULL-35-15 sp001769385	1.0
MJ033-1-barcode47-umi7276bins-ubs-48	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__DSM-16500; f__DSM-16500; g__Aquicella_A; s__Aquicella_A siphonis	1.0
KF056993	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Asprobacter; s__Asprobacter aquaticus	1.0
FJ214362	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Kineosporiaceae; g__Kineosporia; s__Kineosporia mesophila	1.0
MK382982	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__TH1-2; g__; s__	1.0
G004363655	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_613067; f__Rhodanobacteraceae_613067; g__Tahibacter; s__Tahibacter aquaticus	1.0
MJ032-2-barcode57-umi4938bins-ubs-75	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__	1.0
MJ010-2-barcode71-umi29558bins-ubs-19	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Anaerovorax; s__Anaerovorax odorimutans	1.0
MJ031-2-barcode61-umi34077bins-ubs-9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574934; g__Noviherbaspirillum_A_569121; s__Noviherbaspirillum_A_569121 pedocola	1.0
MJ030-2-barcode58-umi22655bins-ubs-29	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Lentimicrobiaceae; g__Lentimicrobium; s__	1.0
MJ034-1-barcode39-umi14775bins-ubs-21	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Rhizobacter_590950; s__Rhizobacter sp001425825	1.0
MJ032-2-barcode72-umi16736bins-ubs-32	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Blastocatellaceae_430966; g__Aridibacter; s__	1.0
MJ032-1-barcode26-umi57207bins-ubs-5	d__Bacteria; p__Spirochaetota; c__Leptospirae; o__Turneriellales; f__Turneriellaceae; g__Turneriella; s__Turneriella parva	1.0
LC019141	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Spirosoma; s__Spirosoma fluviale	1.0
MJ009-1-barcode39-umi20888bins-ubs-19	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Rhodomicrobiaceae; g__R-RK-3; s__R-RK-3 sp002198715	1.0
MJ031-1-barcode27-umi35200bins-ubs-5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g_966746; f__UBA9320; g__; s__	1.0
MG799125	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Phragmitibacter; s__Phragmitibacter flavus	1.0
MJ034-1-barcode33-umi14016bins-ubs-22	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	1.0
MK788322	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 suaedae	1.0
MJ030-2-barcode58-umi113745bins-ubs-3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__; g__; s__	1.0
MJ032-2-barcode53-umi78614bins-ubs-4	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_302584; f__Bacillaceae_C; g__; s__	1.0
AB299978	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009; g__Lysobacter_A_615995; s__Lysobacter_A_615995 spongiicola	1.0
MJ030-1-barcode25-umi27810bins-ubs-21	d__Bacteria; p__Bdellovibrionota_E; c__Bdellovibrionia_A_473294; o__Bdellovibrionales; f__SG-bin7; g__SG-bin7; s__SG-bin7 sp002083485	1.0
MJ031-1-barcode42-umi33949bins-ubs-6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Terrimonas_941540; s__	1.0
G011046735	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504723; f__Aestuariivirgaceae; g__Nordella; s__Nordella sp011046735	1.0
AF480599	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__Mycobacterium diernhoferi	1.0
MJ032-2-barcode69-umi22731bins-ubs-24	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Terrimonas_941540; s__	1.0
MJ030-1-barcode42-umi68624bins-ubs-6	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__VFKE01; s__VFKE01 sp009885695	1.0
AY904033	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Metabacillus_B_289500; s__Metabacillus_B_289500 idriensis	1.0
MJ009-2-barcode58-umi6090bins-ubs-60	d__Bacteria; p__Desulfobacterota_I; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Desulfatitalea; s__	1.0
DQ515963	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Cryobacterium_C; s__Cryobacterium_C psychrotolerans	1.0
LN626273	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Geodermatophilaceae; g__Blastococcus; s__Blastococcus colisei	1.0
MJ020-1-barcode34-umi111646bins-ubs-3	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__; s__	1.0
RS-GCF-002117955.1-NZ-BDJG01000021.1	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 salsibiostraticola	1.0
MJ034-1-barcode34-umi28370bins-ubs-3	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae_433871; g__PSRF01; s__PSRF01 sp002427845	1.0
G001296005	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales_507929; f__Azospirillaceae_507917; g__Niveispirillum; s__Niveispirillum sp001296005	1.0
EU295459	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009; g__Luteimonas_C_615545; s__Luteimonas_C_615545 marina	1.0
AB087721	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 aromaticivorans	1.0
AF005007	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 luteus_A_392391	1.0
MJ030-1-barcode42-umi48441bins-ubs-11	d__Bacteria; p__Desulfobacterota_G_459546; c__Desulfuromonadia; o__Desulfuromonadales; f__BM103; g__VAUL01; s__	1.0
GU434237	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Promicromonospora; s__Promicromonospora callitridis	1.0
AB245387	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium; s__Aeromicrobium panaciterrae	1.0
MJ020-1-barcode31-umi74742bins-ubs-5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Piscinibacter; s__	1.0
GU249610	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Polyangiales; f__Polyangiaceae; g__Aetherobacter; s__Aetherobacter rufus	1.0
MJ034-2-barcode60-umi9637bins-ubs-20	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaera; s__Pedosphaera parvula	1.0
MJ032-2-barcode60-umi48152bins-ubs-10	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Agriterribacter; s__Agriterribacter humi	1.0
FJ828659	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Herbiconiux_382278; s__Herbiconiux moechotypicola	1.0
MJ034-2-barcode71-umi4604bins-ubs-61	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA7657; s__UBA7657 sp900696495	1.0
MJ010-1-barcode26-umi93148bins-ubs-7	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae_433871; g__PSRF01; s__PSRF01 sp002427845	1.0
MJ034-2-barcode52-umi2754bins-ubs-146	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__; s__	1.0
RS-GCF-005280315.1-NZ-CP040017.1--2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592524; f__Burkholderiaceae_A_574758; g__Massilia; s__	1.0
RS-GCF-019039055.1-NZ-JAHOPB010000001.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella; s__Reyranella aquatilis	1.0
AB548216	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Povalibacter; s__Povalibacter uvarum	1.0
