OTU_ID	HaZm1	HaZm2	HaZm3	HaZm4	HaZm5	HaZm6	HaZm7	HaZm8	HaZm9	HaZm10	ZmGm1	ZmGm2	ZmGm3	ZmGm4	ZmGm5	ZmGm6	ZmGm7	ZmGm8	ZmGm9	ZmGm10	TaGm1	TaGm2	TaGm3	TaGm4	TaGm5	TaGm6	TaGm7	TaGm8	TaGm9	TaGm10	ZmZm1	ZmZm2	ZmZm3	ZmZm4	ZmZm5	ZmZm6	ZmZm7	ZmZm8	ZmZm9	ZmZm10	GmZm1	GmZm2	GmZm3	GmZm4	GmZm5	GmZm6	GmZm7	GmZm8	GmZm9	GmZm10	GmGm1	GmGm2	GmGm3	GmGm4	GmGm5	GmGm6	GmGm7	GmGm8	GmGm9	GmGm10	PsZm1	PsZm2	PsZm3	PsZm4	PsZm5	PsZm6	PsZm7	PsZm8	PsZm9	PsZm10	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU_22	1406	261	4276	5635	413	10	10	16	3	16	1	0	116	45	2	503	1	1199	628	3	57	0	2	738	5344	40	215	14	0	260	3	1899	2	62	101	22	372	569	160	190	527	219	64	49	3958	6	3	8	201	0	4	52	1413	11	26	549	671	223	5	4	10	65	21	1920	834	3219	7	25	242	320	Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella	Dactylella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_23	434	214	238	324	32	302	964	2040	769	250	353	174	758	401	1043	96	594	167	382	325	207	87	238	269	91	648	579	755	637	364	118	151	157	221	189	325	344	689	952	1137	127	76	142	200	108	112	605	360	701	474	278	344	224	218	437	109	136	130	215	591	1122	604	1820	1228	616	164	264	607	636	518	Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,Podila_epicladia	Mortierellaceae	9	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Possible	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'
OTU_24	54	29	1	44	3	28	24	6	30	13	13	6	96	51	39	88	37	8634	48	43	64	11	81	20	850	29	12	34	13	16	26	71	33	101	120	26	9	29	3	22	40	76	138	453	192	48	128	3073	80	3517	409	825	1570	760	93	842	576	73	403	902	193	559	537	1416	204	290	425	138	43	255	Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))'
OTU_30	985	5	4	1784	10	4164	10	5	12	4433	15	4	0	0	26	0	0	0	0	0	1	0	20	1	0	0	18	78	3	10	4468	17	4	38	2	1	4	382	3	49	7	64	0	227	230	5	2	4	1736	1627	5399	43	2	1252	1165	1	3	6	91	8	209	0	0	1	0	2	0	31	2	2	Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia_rectispora	Orbilia	13	Saprotroph	Wood Saprotroph	Microfungus	NULL	Probable	Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_451	291	307	447	111	123	389	292	187	308	31	906	403	183	510	1094	2098	644	211	477	70	143	16	116	105	701	235	25	154	261	89	497	172	89	216	93	189	443	686	154	56	433	875	303	929	552	609	978	354	939	653	714	205	695	789	1270	805	128	181	581	202	3	27	226	164	252	4	132	52	27	79	Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizoglomus	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	NULL	Highly Probable	NULL	b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'
OTU_39	397	328	585	870	221	230	257	146	515	184	174	80	235	408	720	495	381	312	572	476	292	193	440	300	192	221	216	288	82	97	481	282	332	449	451	405	391	307	195	404	244	182	380	530	532	201	192	179	258	242	217	226	157	575	428	315	98	147	483	466	813	346	430	777	443	171	656	601	630	528	Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_globalpina	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'
OTU_31	16	14	41	12	26	26	4	8	3	13	1688	202	46	1359	1381	2438	52	273	2677	151	20	24	10	16	81	8	26	16	19	7	3217	925	968	73	380	647	3132	1328	286	677	3	6	24	69	11	23	51	14	16	22	20	43	3	9	9	23	7	12	21	45	118	6	14	69	42	16	39	54	25	36	Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Achroiostachys,Achroiostachys_humicola	Achroiostachys	13	Saprotroph	Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Possible	Saprobic in soil, roots, leaf litter, and dead twig, or isolated from rhizosphere (Lombard et al. 2016)	b'Lombard L, et al. 2016. Persoonia 36:156-246 ((https://doi.org/10.3767/003158516X691582))'
OTU_46	5	7	3	13	9	2	13881	13	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	1	1	0	1	365	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	8	5	5	5	6	3	8345	Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae	Ceratobasidiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endomycorrhizal-Plant Pathogen-Undefined Saprotroph	Microfungus	NULL	Possible	Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'
OTU_29	148	51	43	82	9	14	330	29	3277	383	24	99	119	556	11	659	2899	5	222	6	43	578	25	193	1	69	36	77	110	34	0	10	4	35	6	19	47	1039	18	3	8	43	50	43	1	1	18	14	10	755	118	100	142	1687	621	1017	43	0	74	518	151	1198	690	561	402	196	3	437	1653	22	Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys	Arthrobotrys	13	Saprotroph	Dung Saprotroph-Nematophagous	Microfungus	Nematode-trapping fungus (Yang et al. 2020)	Probable	NULL	b'Seifert KA, Kendrick WB, Murase G. 1983. A Key to Hyphomycetes on Dung. University of Waterloo Press, Waterloo; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))'
OTU_32	388	7	7	7	8	1	0	1	6	4	6	3	7021	8	2	240	15	67	36	7	0	2	1	207	3	8	504	31	3	588	4	0	6	0	0	2	21	0	7	3	24	716	8	9	4	5	1530	703	84	1	11	3	8811	7	14	7	4	270	7	44	1	6	12	163	7	3	14	68	0	0	Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium	Cladosporium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	NULL	Possible	NULL	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
OTU_2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	6	8	9	10	4	7	6	19385	7	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_solani	Rhizoctonia	13	Pathotroph-Saprotroph-Symbiotroph	Orchid Mycorrhizal-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Only symbiotic (perhaps leaning parasitic) in special cases with orchids, otherwise typically a plant pathogen.	b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga; The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
OTU_70	8	5	0	1	102	3	23	276	225	34	0	27	3	2	10	14	0	2	7	2	0	1	1	4	4	0	0	5	0	6	0	2	2	0	0	14	4	374	10	3	139	2482	123	51	2324	11	104	566	133	3381	611	64	3571	308	1194	17	53	69	25	72	18	20	18	10	1669	144	95	43	22	272	Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_slobbergiarum	Plectosphaerella	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Probable	Plectosporium was introduced by Palm et al. (1995) for Fusarium tabacinum, the anamorph of Plectosphaerella cucumerina (Carlucci et al. 2012)	b'Palm et al. 1995. Mycologia 87:397-406 ((https://doi.org/10.1080/00275514.1995.12026545)); Carlucci et al. 2012. Persoonia 28:34-48 ((https://doi.org/10.3767/003158512X638251)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6)); Li et al. 2017. Mycobiology 45:110-113 ((https://doi.org/10.5941/MYCO.2017.45.2.110))'
OTU_36	0	0	0	0	0	0	0	0	0	0	9	1	17693	11	10	5	3	12	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium	Ceratobasidium	13	Pathotroph-Saprotroph-Symbiotroph	Endomycorrhizal-Plant Pathogen-Undefined Saprotroph	Corticioid-Microfungus	NULL	Possible	Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_66	174	503	147	566	602	28	24	17	35	33	327	32	63	0	151	1379	562	3	340	176	190	6	13	239	79	13	232	11	1	0	1364	777	274	156	233	236	154	8	38	73	2118	116	53	1034	527	271	629	192	360	38	67	64	60	453	315	434	331	209	986	117	0	0	4	5	11	0	0	0	0	11	Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis	Rhizophagus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'
OTU_63	0	0	0	129	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	3	4	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10813	18	6	12	0	2	3	0	1	0	2	1	1	0	0	5842	13	15	12	0	0	0	0	0	0	0	2	0	0	Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Coprinus_cordisporus	Coprinus	13	Pathotroph-Saprotroph	Dung Saprotroph-Plant Pathogen	Agaricoid	NULL	Highly Probable	NULL	b'Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_49	452	274	264	210	296	200	224	232	180	140	210	38	171	325	573	591	357	227	447	223	236	110	248	295	168	77	110	128	70	112	294	108	146	252	240	182	159	201	149	246	233	107	338	292	292	167	278	143	327	153	112	175	102	236	172	204	55	69	95	1034	244	330	373	234	314	126	227	433	461	314	Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))'
OTU_73	0	0	0	633	0	0	0	0	0	0	2	0	1122	3	0	1810	0	1	1	16	0	0	0	0	3	0	0	0	23	2	67	1	6587	6	411	182	15	1	4	5	0	0	0	0	65	0	4	0	31	0	1	0	0	11	0	0	5376	1	1	6	1	0	8	0	12	0	0	0	3	0	Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Bolbitius_coprophilus	Bolbitius	13	Saprotroph	Dung Saprotroph-Leaf Saprotroph	Agaricoid	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
OTU_40	11	1	7	3	12	14731	2	5	4	2	0	1	0	1426	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus_stercoreus	Cyathus	13	Saprotroph	Undefined Saprotroph	Gasteroid	NULL	Probable	Common name - birds nest fungus	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
